player_number,rating,points,category
87,5.5,11,B
39,5.63,48,C
14,2.21,30,B
43,1.91,100,A
17,5.17,7,C
2,4.72,34,C
69,5.83,30,B
72,3.99,49,C
20,3.15,17,A
70,5.5,38,B
92,7.94,33,A
6,4.52,37,A
69,1.84,37,C
14,7.31,52,B
2,3.65,50,A
13,7.45,60,B
78,9.23,32,A
24,5.34,46,A
6,7.36,18,B
17,5.89,63,B
86,9.27,24,A
56,3.09,47,C
2,1.98,79,C
36,8.27,64,B
75,3.68,81,C
70,7.51,31,C
61,8.12,38,C
48,8.04,48,C
13,8.12,56,A
15,9.02,15,B
1,2.96,46,C
3,2.24,18,C
40,6.64,88,C
79,7.7,69,C
54,9.29,92,B
27,2.39,99,A
86,4.59,72,C
38,3.86,54,A
84,1.61,71,B
59,5.23,56,A
86,8.07,44,A
55,3.02,30,A
27,8.3,48,A
96,5.88,77,B
4,3.25,51,A
99,6.05,24,C
9,2.63,22,B
23,6.68,10,C
52,6.69,5,C
9,7.48,3,C
